Simple,PastSimple,PastParticiple,Russian
awake,awoke,awoken,будить/просыпаться
be,was/were,been,быть/являться
bear,bore,born,носить/выносить
beat,beat,beat,бить/колотить
become,became,become,становиться
begin,began,begun,начинать
bend,bent,bent,гнуть
beset,beset,beset,осаждать
bet,bet,bet,держать пари
bid,bid,bid,велеть/просить
bind,bound,bound,связывать
bite,bit,bitten,кусать
bleed,bled,bled,кровоточить
blow,blew,blown,дуть/выдыхать
break,broke,broken,ломать/разбивать/разрушать
breed,bred,bred,разводить
bring,brought,brought,приносить/привозить/доставлять
broadcast,broadcast,broadcast,вещать/распространять
build,built,built,строить/сооружать
burn,burnt,burnt,жечь/гореть
burst,burst,burst,взорваться
buy,bought,bought,покупать/приобретать
cast,cast,cast,бросать/кидать
catch,caught,caught,ловить/поймать/схватить
choose,chose,chosen,выбирать
cling,clung,clung,цеплять
come,came,come,приходить
cost,cost,cost,стоить
creep,crept,crept,ползать
cut,cut,cut,резать
deal,dealt,dealt,торговать/распределять
dig,dug,dug,копать/рыть
dive,dove,dived,нырять/погружаться
do,did,done,делать
draw,drew,drawn,рисовать/тащить
dream,dreamt,dreamt,мечтать
drive,drove,driven,водить/гнать
drink,drank,drunk,пить
eat,ate,eaten,есть/поглощать
fall,fell,fallen,падать
feed,fed,fed,кормить
feel,felt,felt,чувствовать
fight,fought,fought,бороться
find,found,found,находить
fit,fit,fit,подходить/подгонять
flee,fled,fled,бежать/спасаться
fling,flung,flung,швырять
fly,flew,flown,летать
forbid,forbade,forbidden,запретить
forget,forgot,forgotten,забыть
forego,forewent,foregone,предшествовать/воздерживаться
forgive,forgave,forgiven,простить
forsake,forsook,forsaken,покидать
freeze,froze,frozen,замерзать
get,got,gotten,получать/становиться
give,gave,given,давать
go,went,gone,идти/ехать
grind,ground,ground,точить/молоть
grow,grew,grown,расти/выращивать
hang,hung,hung,висеть/повесить
hear,heard,heard,слышать
hide,hid,hidden,прятать
hit,hit,hit,ударить
hold,held,held,держать/проводить
hurt,hurt,hurt,ранить/обижать
keep,kept,kept,держать
kneel,knelt,knelt,становиться на колени
knit,knit,knit,вязать
know,knew,know,знать
lay,laid,laid,класть
lead,led,led,вести
leap,lept,lept,прыгать
learn,learned,learned,учить
leave,left,left,оставлять/уезжать
lend,lent,lent,давать взаймы
let,let,let,позволять
lie,lay,lain,лежать
light,lit,lighted,зажигать/освещать
lose,lost,lost,терять
make,made,made,делать/создавать
mean,meant,meant,означать
meet,met,met,встретить
misspell,misspelt,misspelt,делать орфографические ошибки
mistake,mistook,mistaken,ошибаться
mow,mowed,mowed,косить
overcome,overcame,overcome,преодолевать
overdo,overdid,overdone,переусердствовать/перебарщивать
overtake,overtook,overtaken,догонять/настигать
overthrow,overthrew,overthrown,низвергнуть/свергать
pay,paid,paid,платить
plead,pled,pled,заявлять
prove,proved,proved,доказывать
put,put,put,класть
quit,quit,quit,бросать/покидать/увольняться
read,read,read,читать
rid,rid,rid,избавлять
ride,rode,ridden,ездить верхом
ring,rang,rung,звонить
rise,rose,risen,подниматься
run,ran,run,бежать
saw,sawed,sawn,пилить
say,said,said,сказать
see,saw,seen,видеть
seek,sought,sought,искать
sell,sold,sold,продавать
send,sent,sent,посылать
set,set,set,ставить
sew,sewed,sewn,шить
shake,shook,shaken,трясти
shave,shaved,shaven,брить
shear,shore,shorn,стричь
shed,shed,shed,проливать
shine,shone,shone,светить/сиять
shoe,shoed,shod,обувать/подковывать
shoot,shot,shot,стрелять
show,showed,shown,показывать
shrink,shrank,shrunk,сжиматься
shut,shut,shut,закрывать
sing,sang,sung,петь
sink,sank,sunk,погружаться/тонуть
sit,sat,sat,сидеть
sleep,slept,slept,спать
slay,slew,slain,убивать
slide,slid,slid,скользить
sling,slung,slung,швырять/подвешивать
slit,slit,slit,разрезать/расщеплять
smite,smote,smitten,ударять/разбивать
sow,sowed,sown,сеять
speak,spoke,spoken,разговаривать
speed,sped,sped,мчаться
spend,spent,spent,тратить/проводить 
spill,spilled,spilled,расплескать
spin,spun,spun,прясть/вертеть
spit,spat,spit,плевать
split,split,split,расщепить
spread,spread,spread,распространить
spring,sprang,sprung,возникать/выпрыгивать
stand,stood,stood,стоять
steal,stole,stolen,красть
stick,stuck,stuck,втыкать/липнуть
sting,stung,stung,жалить
stink,stank,stunk,вонять
stride,strod,stridden,шагать
strike,struck,struck,ударить
string,strung,strung,нанизать/натянуть
strive,strove,striven,стремиться
swear,swore,sworn,клясться
sweep,swept,swept,мести
swell,swelled,swollen,распухнуть/вздуться
swim,swam,swum,плыть
swing,swung,swung,раскачивать
take,took,taken,брать
teach,taught,taught,обучать
tear,tore,torn,рвать
tell,told,told,говорить/рассказывать
think,thought,thought,думать
thrive,thrived,thrived,процветать/преуспевать/разрастаться
throw,threw,thrown,бросать
thrust,thrust,thrust,толкать
tread,trod,trodden,ступать
understand,understood,understood,понимать
uphold,upheld,upheld,поддерживать/придерживаться
upset,upset,upset,опрокинуть
wake,woke,woken,просыпаться
wear,wore,worn,носить
weave,wove,woven,ткать
wed,wed,wed,вступать в брак
weep,wept,wept,плакать
wind,wound,wound,виться/наматывать
win,won,won,выигрывать/побеждать
withhold,withheld,withheld,воздерживаться
withstand,withstood,withstood,противостоять
wring,wrung,wrung,выкручивать
write,wrote,written,писать